alim_grp_nom_fr;alim_nom_fr;Energie;Eau;Proteines;Glucides;Lipides;Sucres;Fructose;Galactose;Glucose;Lactose;Maltose;Saccharose;Amidon;Fibres alimentaires;Polyols totaux;Cendres;Alcool;Acides organiques;AG satures;AG monoinsatures;AG polyinsatures;AG 4:0, butyrique;AG 6:0, caproeque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stearique;AG 18:1 9c(n9), oleique;AG 18:2 9c,12c(n6), linoleique;AG 18:3 c9,c12,c15(n3), alphalinolenique;AG 20:4 5c,8c,11c,14c(n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c(n3) EPA;AG 22:6 4c,7c,10c,13c,16c,19c(n3) DHA;Cholesterol(mg/100g);Sel chlorure de sodium;Calcium(mg/100g);Chlorure(mg/100g);Cuivre(mg/100g);Fer(mg/100g);Iode(eg/100g);Magnesium(mg/100g);Manganese(mg/100g);Phosphore(mg/100g);Potassium(mg/100g);Selenium(eg/100g);Sodium(mg/100g);Zinc(mg/100g);Retinol(eg/100g);BetaCarotene(eg/100g);Vitamine D(eg/100g);Vitamine à(mg/100g);Vitamine K1(eg/100g);Vitamine K2(eg/100g);Vitamine C(mg/100g);Vitamine B1 ou Thiamine(mg/100g);Vitamine B2 ou Riboflavine(mg/100g);Vitamine B3 ou PP ou Niacine(mg/100g);Vitamine B5 ou Acide pantothenique(mg/100g);Vitamine B6(mg/100g);Vitamine B9 ou Folates totaux(eg/100g);Vitamine B12(eg/100g)
entrees et plats composes;Macedoine de legumes en salade. avec sauce. preemballee;;78.3;2.81;7;9.3;2.3;0.3;;0.3;0.3;0.3;1.5;;4.11;;1.47;0;;0.7;;;;;;;;;;;;;;;;;;1.04;;;;;;;;;;;426;;;;;;;;;;;;;;;
entrees et plats composes;Salade Cesar au poulet(salade verte. fromage. croetons. sauce). preemballee;;71.8;8.13;4.88;10;1.71;0.6;;0.51;0.2;0.6;0.2;3.17;2;;1.54;0;1.66;2.36;4.99;2.09;0.08;0.05;0.03;0.06;0.08;0.26;1.26;0.41;4.6;1.7;0.39;0.01;0.01;0.01;40.7;0.75;100;483;0.11;0.5;20;19;0.15;150;300;20;301;0.69;27.9;627;0.25;2.24;32;;1.11;96;68;2.29;0.47;94;29.3;0.48
entrees et plats composes;Salade vegetale à base de boulgour et/ou quinoa et legumes. preemballee;168;65.5;4.06;17.4;8.3;4.61;0.99;0.1;1.9;0.1;1.72;0.1;9.9;3.3;traces;1.32;0;0.35;0.92;3.95;3.04;0.01;0.01;0.01;0.01;0.01;0.01;0.58;0.24;3.71;2.79;0.25;0.01;0.01;0.01;;0.77;37;484;0.16;1.2;20;46;0.62;110;140;20;309;0.77;;611;0.25;2.67;10;;0.5;71;0.01;0.18;0.27;59;22.1;
entrees et plats composes;Carottes repees. avec sauce. preemballees;;84.7;0.98;6.01;5;5.2;0.54;;0.77;0.2;0.23;3.2;;3.64;;1.3;0;;0.43;2.53;1.82;;;;;;;;;;0.97;0.24;;;;;0.67;31;;;;;;;;;;264;;;;;;;;;;;;;;;
entrees et plats composes;Salade de betterave. avec sauce. preemballee;;83.5;1.29;7.45;4.94;5.3;0.46;;0.5;51;0.1;4.29;;2.66;;1.34;0;;0.37;1.79;1.9;;;;0.12;;;;;;;;;;;;0.7;21;;;4;;;;;;;280;;;;;;;;5;;;;;;;
entrees et plats composes;Salade de chou ou Coleslaw. avec sauce. preemballee;105;80.4;0.94;5.78;8.1;4.72;0.85;;1.06;0.2;0.2;2.82;0.35;3;1.06;1.45;0;0.34;0.63;4.83;2.2;0.01;0.01;0.01;0.01;0.01;0.01;0.41;0.13;4.39;1.54;0.66;0.01;0.01;0.01;;0.88;39;556;0.03;1.3;20;9.3;0.26;29;210;20;353;0.27;;1340;0.25;2.21;23;;21.6;26;0.01;0.1;0.21;93;14.6;
entrees et plats composes;Salade de concombre à la creme/fromage blanc. preemballee;;;1.1;1.97;11.3;1.39;;;;;;;;1.48;;1.07;0;;1.35;;;;;;;;;;;;;;;;;;1.07;;;;;;;;;;;411;;;;;;;;;;;;;;;
entrees et plats composes;Salade de lentilles et saucisse fumee. preemballee;;;7;8.9;11.8;0.9;;;;;;;;3.6;;0.89;0;;0.9;;;;;;;;;;;;;;;;;;0.89;;;;;;;;;;;355;;;;;;;;;;;;;;;
entrees et plats composes;Salade grecque. avec sauce. preemballee;;;2;1.4;7.1;1.4;;;;;;;;2;;1.04;0;;2.7;;;;;;;;;;;;;;;;;;1.04;;;;;;;;;;;416;;;;;;;;;;;;;;;
entrees et plats composes;Salade de riz à la nieoise. avec sauce. preemballee;;73.7;4.45;15.8;6.08;1.35;0.5;;0.48;;0.3;0.38;;1.5;;1.46;0;;0.63;2.51;0.97;;;;;;;;;;0.64;0.3;;;;;0.76;;;;;;;;;;;300;;;;;;;;;;;;;;;
entrees et plats composes;Taboule ou Salade de couscous au poulet. preemballe;;62.6;6.4;20.6;7.45;2.48;0.8;;0.8;0.2;0.7;0.2;16.6;2.02;;1.59;0;;0.86;3.78;1.75;0.01;0.01;0.01;0.01;0.02;0.02;0.57;0.15;3.78;1.33;0.42;0.01;0.01;0.01;8.24;1.05;18;661;0.1;0.8;20;24;0.32;100;190;20;424;0.65;21;135;0.25;1.48;3.22;;0.5;0.14;45;1.16;0.4;96;96.5;0.1
entrees et plats composes;Soupe aux lentilles. preemballee à rechauffer;55;85.8;3.74;6.6;1.12;0.7;;;;;;;;1.8;0;1.24;0;traces;0.45;0.52;0.13;;;;0;0;0.02;0.27;0.16;;;;;;;3;0.36;25;;0.17;1.07;4;19;0.24;74;144;16.1;143;0.61;0;430;;0;;;1.7;0.07;45;0.55;0.14;0.09;20;0.12
entrees et plats composes;Soupe à la volaille et aux legumes. preemballee à rechauffer;30.8;;3.09;2.6;0.8;1.2;;;;;;;;0.4;0;1.75;0;traces;0.3;;;;;;;;;;;;;;;;;;1.75;;;;;;;;;;;700;;;;;;;;;;;1.9;;;;0.11
entrees et plats composes;Soupe aux legumes varies. preemballee à rechauffer;39.4;90.2;0.76;5.05;1.56;1.72;0.29;;0.29;0.2;0.2;1.15;2.2;1.1;0;1;0;traces;0.55;0.5;0.11;26;17;0.0086;17;26;77;0.28;94;0.44;0.1;0.0063;0.01;0.01;0.01;3.7;0.69;14;442;0.02;0.14;20;5.3;0.04;19;110;20;275;0.11;21;1710;0;0.62;2.53;;5.75;0.29;62;0.31;0.33;0.16;39.8;52
entrees et plats composes;Soupe de poissons et / ou crustaces. preemballee à rechauffer;42.8;89.4;3.45;2.88;1.79;0.9;0.3;;0.3;0.3;0.2;0.2;1.7;0.69;0;1.66;0;traces;0.58;0.93;0.25;0.01;0.01;0.01;0.01;0.01;0.07;0.29;0.08;0.71;0.13;35;0.01;35;53;30;0.86;130;611;0.07;0.61;70;11;0.05;80;110;20;343;0.25;59.8;446;0.2;0.32;0.93;;0.5;0.03;39;0.63;0.18;32;5;1.35
entrees et plats composes;Soupe aux legumes varies. deshydratee reconstituee;34.5;90.9;0.86;4.43;1.22;1.07;0.2;;0.2;0.2;0.2;0.7;2.6;1.16;0;1.02;0;traces;0.39;0.45;91;0.0045;0.01;0.01;0.01;9;23;0.3;0.05;0.45;81;0.01;0.01;0.01;0.01;2.12;0.69;21;426;0.03;0.19;1;7;0.05;12.5;60;20;276;0.12;21;261;0;0.19;2.42;;3.28;0.05;0.24;0.13;0.12;44;8.4;29
entrees et plats composes;Soupe aux poireaux et pommes de terre. preemballee à rechauffer;37.1;90.8;0.79;4.46;1.51;0.81;0.2;;0.3;0.2;0.2;0.2;3.2;1.28;0;0.97;0;traces;0.6;0.53;0.27;32;19;13;25;32;89;0.28;0.1;0.53;0.18;0.09;0.01;0.01;0.01;4.73;0.73;16;450;0.02;0.17;20;5.6;0.04;16;94;20;290;0.13;21;120;;0.28;9.13;;7.95;0.01;0.03;0.23;0.14;0.23;29.3;45
entrees et plats composes;Soupe à la volaille et aux vermicelles. preemballee à rechauffer;30.8;93.8;1.3;3.86;1;0.77;;;;;;;;0.56;0;1.01;0;traces;0.49;0.29;0.18;0;0;0;0;1;5;0.2;53;;;;;0;0;5;0.82;7.96;;69;0.14;0.5;7.93;57;17;30.5;10;326;0.1;1;119;0;0.03;0;;;55;45;0.54;74;0.02;2;0.02
entrees et plats composes;Bouillon de viande et legumes type potaufeu. pret à consommer;4.8;98.1;0.2;0.1;0.4;0;;;;;;;0.1;0;0;1.09;0;traces;0.2;0.09;0.05;;;;;;;;;;;;;;;0;1.08;1;;0;0.1;;2;0.01;1;15;0;430;;0;;;;;;0;0.06;0.01;0;0.02;0.01;12;0.05
entrees et plats composes;Soupe à l'oignon. preemballee à rechauffer;40.4;92.7;1.35;4.93;1.4;1.5;;;;;;;;1.34;0;1.27;0;traces;0.55;;0.26;0;0;0;;0;0;69;34;;;;;0;0;0;0.79;12;;54;0.27;;1;98;4;28;;315;0.25;1;1;0;0.11;0.2;;0.5;13;0.01;0.24;0;0.02;6;0
entrees et plats composes;Soupe aux champignons. preemballee à rechauffer;48.2;92;0.81;4.09;3.07;0.91;;;;;;;;0.52;0;1;0;traces;1.58;0.4;0.96;14;11;0.0087;22;24;92;0.68;0.15;0.4;0.31;0.01;;0;0;3.3;0.78;7;490;16;0.09;8.4;2;18;12;62;;312;0.06;5.5;0;0.1;0.24;9.6;;;6;8;0.17;72;7;1;0
entrees et plats composes;Soupe à la carotte. preemballee à rechauffer;33.2;91.2;0.61;3.89;1.41;1.82;;;;;;;2.08;1.22;0;1.05;0;traces;0.96;0.36;29;;;;;;;;;;;;;;;;0.65;15;;;0.3;;7;;20;140;;259;;4;3500;;;;;11;0.05;;0.65;;0.08;9;
entrees et plats composes;Soupe à la tomate. preemballee à rechauffer;38.7;90.3;0.74;6.27;0.99;2.95;0.9;;0.8;0.2;0.2;1.2;1.8;0.88;0;0.98;0;traces;0.36;0.29;0.3;16;0.0079;0.01;0.0079;16;55;0.2;63;0.28;0.15;0.02;0.01;0.01;0.01;2.9;0.64;11;416;0.03;0.14;20;5.9;0.04;15;130;20;259;0.08;21;1680;0.6;0.69;1.01;;6.4;0.01;56;0.58;0.2;0.2;23.8;0.01
entrees et plats composes;Soupe chorba frik. à base de viande et de frik;62.9;85.1;3.75;5.4;2.5;0.9;;;;;;;3.9;1.9;0;1.2;0;traces;;;;;;;;;;;;;;;;;;11;0.84;19;;0.07;0.97;2;17;0.31;54;157;1.4;337;0.84;4.4;172;0.02;0.6;;;3.2;0.03;0.04;0.96;0.18;0.07;16;0.11
entrees et plats composes;Soupe minestrone. preemballee à rechauffer;48.8;89.4;1.2;5.6;2;1.7;;;;;;;;1.8;0;1;0;traces;0.6;0.34;0.29;0.03;0.02;0.01;0.02;0.03;0.05;0.2;95;;;;;0;0;1.5;0.75;33.3;460;0.11;0.56;1;12.5;0.11;34.5;106;2.2;300;0.19;0;885;0;0.67;3.2;;1.25;23;34;0.44;0.22;71;10;0
entrees et plats composes;Soupe au pistou. deshydratee reconstituee;30.4;89.4;1.2;5.2;0.35;1.2;;;;;;;4;0.8;0;1.08;0;traces;0.2;0.23;0.06;;;;;;;;;;;;;;;1;0.64;19;;0.1;0.4;1;14;0.1;24;132;2.2;256;0.19;0;900;;0.2;;;7;;;;;0.07;18;
entrees et plats composes;Soupe de poissons et / ou crustaces. deshydratee reconstituee;29;90.6;0.91;5.09;0.5;1.06;;;;;;;;0.21;0;1.15;0;traces;0.14;;;;;;;;;;;;;;;;;;0.63;;;;;;;;0;0.01;;253;;;;;;;;;;;;;;;
entrees et plats composes;Soupe asiatique. avec pates. deshydratee reconstituee;29.8;93.3;0.97;5.25;0.44;1.21;;;;;;;;0.49;0;0.96;0;traces;0.17;;;;;;;;;;;;;;;;;;0.84;;;;;;;;;37.8;;334;;;;;;;;;;;;;;;
entrees et plats composes;Soupe marocaine. deshydratee reconstituee;34.3;90;1.2;5.77;0.55;1.49;;;;;;;;0.72;0;1.08;0;traces;0.23;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;80.5;;318;;;;;;;;;;;;;;;
entrees et plats composes;Soupe aux poireaux et pommes de terre. deshydratee reconstituee;26.1;92.8;0.63;4.84;0.41;0.91;;;;;;;;0.28;0;0.8;0;traces;0.2;;;;;;;;;;;;;;;;;;0.72;;417;;;;;;13;23;;292;;10;90;;;;;30;0.07;;0.8;0.27;;;
entrees et plats composes;Soupe à la volaille et aux legumes. deshydratee reconstituee;27.3;;0.99;4.58;0.44;0.55;;;;;;;;0.51;0;0.73;0;traces;0.17;;;;;;;;;;;;;;;;;;0.73;;;;;;;;;;;292;;;;;;;;3;;;;;0.03;8;
entrees et plats composes;Bouillon de boeuf. deshydrate reconstitue;9.05;97.6;0.6;1.33;0.15;0.33;;;;;;;0;0;0;1.03;0;traces;57;68;0.0072;0;0;0;;0.00067;0.0048;0.03;21;68;0.0072;0;;0;0;0;0.74;5.25;;41;0.15;;2;27;0.01;0.01;0;290;48;0;0;0;0.01;0;;0;0.0029;15;0.55;16;0.0083;1.75;65
entrees et plats composes;Soupe aux asperges. deshydratee reconstituee;35.3;90.8;0.6;5.14;1.31;0.99;;;;;;;2.8;0.28;0;0.91;0;traces;0.73;;;;;;;;;;;;;;;;;;0.76;;;;;;;;15;35;;303;;;;;;;;;;;;;;10;
entrees et plats composes;Soupe à la tomate et aux vermicelles. preemballee à rechauffer;37.7;;1.1;5.87;0.8;3.43;;;;;;;;1.3;0;0.77;0;traces;0.5;;;;;;;;;;;;;;;;;;0.77;;;;;;;;;;;307;;;;;;;;20;;;;;;;
entrees et plats composes;Soupe aux cereales et aux legumes. deshydratee reconstituee;47.8;90;1.4;6.8;1.4;1.2;;;;;;;;1.2;0;1.04;0;traces;0.8;;;;;;;;;;;;;;;;;;0.78;12.5;;;0.29;;9.35;;;94;;312;;;;;;;;3.84;0.04;;0.47;;0.07;16.8;
entrees et plats composes;Soupe à la tomate. deshydratee reconstituee;36.2;90.4;0.76;5.79;0.97;2.44;0.49;;0.68;0.2;0.29;0.98;2.4;0.64;0;1.03;0;traces;0.32;0.41;0.16;0.01;0.01;0.01;0.0041;0.0041;17;0.26;33;0.41;0.15;0.01;0.01;0.01;0.01;2.02;0.69;11;417;0.03;0.14;20;5;0.04;10;65;20;278;0.1;21;147;;0.25;1.33;;0.5;0.02;17;0.46;64;27;6.85;0.14
entrees et plats composes;Soupe aux champignons. deshydratee reconstituee;37.8;91.3;0.65;4.37;1.79;0.63;0.2;;0.2;0.2;0.2;0.2;2.3;0.82;0;1.06;0;traces;0.73;0.6;0.15;0.01;0.01;0.01;0.01;0.01;17;0.66;58;0.6;0.15;0.01;0.01;0.01;0.01;0.87;0.79;10;512;0.02;0.02;20;2.5;0.03;9.51;48;20;311;0.07;21;14.7;0.25;0.24;0.8;;0.5;0.03;34;0.37;0.16;33;8.25;28
entrees et plats composes;Soupe à l'oignon. deshydratee reconstituee;24;94.1;0.58;4.37;0.4;1.3;;;;;;;;0.31;0;1.03;0;traces;0.23;;;;;;;;;;;;;;;;;;0.79;20;517;43;;1;5.26;43;0.01;56.7;3.35;318;83;;;;;;;;;;;;;;
entrees et plats composes;Soupe au potiron. preemballee à rechauffer;35.9;91.8;0.67;4.13;1.56;2.37;0.39;;0.3;0.2;0.2;1.68;1.1;1.31;0;0.95;0;traces;0.88;0.56;69;45;27;18;36;45;0.14;0.44;0.13;0.38;51;18;0.01;0.01;0.01;4.95;0.65;15;421;0.03;0.14;20;5.8;0.04;17;130;20;256;0.13;21;2530;0;0.51;1.03;;0.5;18;14;0.1;0.13;65;9.35;36
entrees et plats composes;Bouillon de volaille. deshydrate reconstitue;5.58;97.4;0.6;0.5;0.13;0.18;;;;;;;0;0.0001;0;1.44;0;traces;83;22;18;;;;;0;0;0.02;0.01;;;;;;;0;0.78;5;;0;0.05;;1;0.01;0;10;0;312;0.01;1;0;;;;;0;5;0.01;0.1;0.02;0;1;0.01
entrees et plats composes;Bouillon de legumes. deshydrate reconstitue;5.38;98;0.34;0.65;0.16;0.19;;;;;;;0.2;0;0;1;0;traces;0.14;11;0.0067;;;;;;;;;;;;;;;0;0.61;1;;0;0.1;;2;0.01;0;8;;240;;0;2;;;;;0;0.11;0.01;0.1;;0;1;0
entrees et plats composes;Soupe à la tomate et aux vermicelles. deshydratee reconstituee;21.6;92.2;0.63;4.21;0.18;0.72;0.24;;0.24;0.2;0.24;0.4;3.5;0.32;0;0.88;0;traces;99;;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.7;0.68;9.1;343;0.05;0.18;20;4.8;0.06;0;62;20;271;0.08;21;162;0.25;0.34;0.8;;0.5;0.02;0.04;1.44;1.04;18;11;
entrees et plats composes;Soupe à la volaille et aux vermicelles. deshydratee reconstituee;21.3;94.2;0.75;3.87;0.25;0.31;0.2;;0.2;0.2;0.2;0.2;3.4;0.26;0;0.74;0;traces;81;;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.72;0.68;7.2;379;0.02;0.1;20;3.5;0.05;14;36;20;272;0.1;21;20.7;;0.08;0.8;;0.5;0.28;0.01;0.1;41;25;;26
entrees et plats composes;Soupe au pistou. preemballee à rechauffer;31.9;;2;4.1;0.5;0.25;;;0.2;;0.2;0.25;;1.5;0;0.9;0;traces;0.2;0.2;0.1;;;;;;;;;;;0.1;;;;;0.65;;;;;;;;;;;260;;;;;;;;;;;;;;;
entrees et plats composes;Soupe au potiron. deshydratee reconstituee;38.3;;0.79;5.61;1.24;2.64;;;;;;;;0.76;0;0.7;0;traces;0.61;;;;;;;;;;;;;;;;;;0.7;;;;;;;;0.01;0.01;;279;;;;;;;;;;;;;;;
entrees et plats composes;Soupe asiatique. avec pates. preemballee à rechauffer;22.3;;0.7;3.4;0.5;0.5;;;;;;;;0.7;0;0.9;0;traces;0.2;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;360;;;;;;;;;;;;;;;
entrees et plats composes;Soupe minestrone. deshydratee reconstituee;31.3;91.3;1.14;5.53;0.34;1.07;;;;;;;;0.79;0;0.97;0;traces;0.02;;;;;;;;;;;;;;;;;;0.7;;427;;;;;;;122;;281;;;;;;;;5;;;;;0.06;18;
entrees et plats composes;Soupe au cresson. deshydratee reconstituee;25.1;;0.42;3.95;0.8;0.31;;;;;;;;0.19;0;0.77;0;traces;0.42;;;;;;;;;;;;;;;;;;0.77;;;;;;;;;;;308;;;;;;;;;;;;;;;
entrees et plats composes;Soupe au cresson. preemballee à rechauffer;34;;1;5.4;0.8;0.9;;;;;;;;0.6;0;0.78;0;traces;0.5;;;;;;;;;;;;;;;;;;0.78;;;;;;;;;;;310;;;;;;;;;;;;;0.25;30;
entrees et plats composes;Soupe aux legumes avec fromage. preemballee à rechauffer;50.2;;1.34;5.09;2.51;1.62;;;;;;;;0.93;0;0.67;0;traces;1.58;;;;;;;;;;;;;;;;;;0.67;;;;;;;;;;;268;;;;;;;;11;;;;;0.3;30;
entrees et plats composes;Soupe aux legumes verts. preemballee à rechauffer;33.4;90.9;1;3.84;1.32;0.81;0.2;;0.2;0.2;0.2;0.4;3.03;1.05;0;0.95;0;traces;0.64;0.51;0.16;26;0.02;13;26;33;99;0.33;92;0.44;0.13;0.03;0.01;0.01;0.01;3.52;0.7;24;423;0.02;0.27;20;7.1;0.06;24;120;20;280;0.18;21;177;0.25;0.28;16.5;;9;0.17;42;0.53;0.22;0.25;27.5;
entrees et plats composes;Soupe aux legumes verts. deshydratee reconstituee;34.8;91.8;0.72;5.31;1.07;1.07;0.2;;0.2;0.2;0.2;0.4;3.3;0.54;0;0.85;0;traces;0.71;0.23;75;0.01;0.01;0.01;0.01;57;36;0.56;57;0.23;75;0.01;0.01;0.01;0.01;0.7;0.66;12;446;0.02;0.11;20;3;0.03;15;50;20;264;0.09;21;10.5;0.25;0.18;2.82;;6.15;0.05;14;0.15;72;33;7.6;
entrees et plats composes;Soupe aux pois casses. preemballee à rechauffer;56.7;;2.68;6.25;1.98;1.02;;;;;;;;1.6;0;0.7;0;traces;0.67;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;279;;;;;;;;;;;;;;;
entrees et plats composes;Soupe froide type Gaspacho ou Gazpacho. preemballee;32.8;91.1;0.65;3.38;1.62;2.32;1.2;;1.12;0.2;0.2;0.2;0.35;1.04;0;1.13;0;traces;0.27;;0.16;0.003;0.01;0.01;0.01;0.01;0.01;0.21;59;0.01;0.14;0.02;0.01;0.01;0.01;;0.75;11;468;0.04;0.11;20;8.9;0.06;25;210;20;293;0.1;;291;0.25;1.31;52.6;;1.98;0.01;0.02;0.56;93;41;5;
entrees et plats composes;Soupe aux asperges. preemballee à rechauffer;133;;4.6;4.7;10.4;2.9;;;;;;;;1;0;0.98;0;traces;5.1;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;
entrees et plats composes;Soupe(aliment moyen);37.4;90.7;1.27;4.5;1.37;1.6;0.42;;0.4;0.15;0.11;0.72;2.1;1.02;0;1.05;0;0;0.57;0.54;0.18;22;14;0.0096;18;23;74;0.29;85;0.39;0.11;0.03;5;0.0087;11;7.47;0.75;27.8;454;0.04;0.27;16.5;7.19;64;24.9;108;9.35;296;0.18;15.2;1090;;0.48;6.98;;5.04;0.05;36;0.49;0.23;0.1;15.8;0.24
entrees et plats composes;Soupe miso. deshydratee reconstituee;17.1;94.6;1.38;2.18;0.5;0.69;0.2;;0.69;0.2;0.2;0.2;;0.5;0;1.29;0;58;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;0.0098;;1.1;18;661;0.06;0.19;70;6.9;0.08;19;49;20;438;0.11;;;0.25;0.26;1.15;;;0.015;0.01;0.1;68;0.01;16.5;1.98
